정렬No.,출처파일,위치,기기번호,게이트명,표기명,입출구분,공간구분_NM,공간구분_code,세부유형_NM,세부유형_code,Tag_Code,라벨링_활동
437,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL 커뮤니티동,022-61-1-2,022-60 P2_커뮤니티동_3층_TF Office-5-2,P2_커뮤니티동_3층_TF Office-5-2,OUT,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
438,입출문기록(24.6. ~ 25. 6.),SBL 커뮤니티동,022-61-1-2,022-61 P2_커뮤니티동_3층_TF Office-5-2,P2_커뮤니티동_3층_TF Office-5-2,OUT,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
439,입출문기록(24.6. ~ 25. 6.),SBL 커뮤니티동,022-62-1-1,022-62 P2_커뮤니티동_1층_B-lab-1,P2_커뮤니티동_1층_B-lab-1,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
440,입출문기록(24.6. ~ 25. 6.),SBL 커뮤니티동,022-63-1-1,022-63 P2_커뮤니티동_1층_B-lab-2,P2_커뮤니티동_1층_B-lab-2,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
441,입출문기록(24.6. ~ 25. 6.),SBL 커뮤니티동,022-64-1-1,022-64 P2_커뮤니티동_1층_B-lab-3,P2_커뮤니티동_1층_B-lab-3,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
442,입출문기록(24.6. ~ 25. 6.),SBL 커뮤니티동,022-64-1-1,022-63 P2_커뮤니티동_1층_B-lab-3,P2_커뮤니티동_1층_B-lab-3,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
443,입출문기록(24.6. ~ 25. 6.),SBL 커뮤니티동,022-7-1-1,022-07 P2_커뮤니티동_1층_보안대기실(여),P2_커뮤니티동_1층_보안대기실(여),IN,비근무영역,N,휴게공간,1,N1,"식사, 휴게"
444,입출문기록(24.6. ~ 25. 6.),SBL 커뮤니티동,022-9-1-1,022-09-01-01 P2_커뮤니티동_1층_사무실,P2_커뮤니티동_1층_사무실,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
445,태깅문,컨벤시아 행사,022-96,022-96 컨벤시아 행사_출석체크-4,컨벤시아 행사_출석체크-4,-,근무영역,G,교육공간,4,G4,"교육, 식사, 휴게"
446,태깅문,컨벤시아 행사,022-97,022-97 컨벤시아 행사_출석체크-3,컨벤시아 행사_출석체크-3,-,근무영역,G,교육공간,4,G4,"교육, 식사, 휴게"
447,태깅문,SBL P2,023-02-01-01,023-02-01-01 P2_DS동_1층_DS-1602(전기실),P2_DS동_1층_DS-1602(전기실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
448,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P2,023-05-01,023-05 P2_GMP_1F_DS-1505(Utility Room) 입문,P2 GMP 1F DS-1505(Utility Room) 입문,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
449,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P2,023-05-02,023-05 P2_GMP_1F_DS-1505(Utility Room) 출문,P2 GMP 1F DS-1505(Utility Room) 출문,OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
450,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P2,023-06-01,023-06 P2_DS동_1층_DS-1927(계단실 1-7) 입문,P2 DS동 1층 DS-1927(계단실 1-7) 입문,IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
451,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P2,023-06-02,023-06 P2_DS동_1층_DS-1927(계단실 1-7) 출문,P2 DS동 1층 DS-1927(계단실 1-7) 출문,OUT,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
452,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P2,023-07-01,023-07 P2_DS동_1층_DS-1977(승강기전실 1-7) 입문,P2 DS동 1층 DS-1977(승강기전실 1-7) 입문,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
453,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P2,023-07-02,023-07 P2_DS동_1층_DS-1977(승강기전실 1-7) 출문,P2 DS동 1층 DS-1977(승강기전실 1-7) 출문,OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
454,태깅문,SBL P2,023-10,023-10 P2_DS동_1층_DS-1701(Spare Part)[동측],P2_DS동_1층_DS-1701(Spare Part)[동측],IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
455,입출문기록(24.6. ~ 25. 6.),SBL P2,023-10-1-1,023-10 P2_DS동_1층_DS-1701(Spare Part)[동측],P2_DS동_1층_DS-1701(Spare Part)[동측],IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
456,입출문기록(24.6. ~ 25. 6.),SBL P2,023-1-1-1,023-01 P2_GMP_1F_DS-1603(I/O ROOM),P2_GMP_1F_DS-1603(I/O ROOM),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
457,입출문기록(24.6. ~ 25. 6.),SBL P2,023-12-1-1,023-12 P2_K-GMP_1F_DS-1242(Bulk Fill Gowning),P2_K-GMP_1F_DS-1242(Bulk Fill Gowning),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
458,입출문기록(24.6. ~ 25. 6.),SBL P2,023-14-1-1,023-14 P2_DS동_1층_DS-1722(정보보호팀),P2_DS동_1층_DS-1722(정보보호팀),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
459,입출문기록(24.6. ~ 25. 6.),SBL P2,023-15-1-1,023-15 P2_GMP_1F_DS-1251(Cold Storage (PP)),P2_GMP_1F_DS-1251(Cold Storage (PP)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
460,입출문기록(24.6. ~ 25. 6.),SBL P2,023-16-1-1,023-16-01-01 P2_DS동_1층_DS-1924(계단실 1-4),P2_DS동_1층_DS-1924(계단실 1-4),IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
461,입출문기록(24.6. ~ 25. 6.),SBL P2,023-17-1-1,023-17-01-01 P2_DS동_1층_DS-1974(승강기전실 1-4),P2_DS동_1층_DS-1974(승강기전실 1-4),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
