center,bu,team,employee_count,location_fixity,movement_complexity,data_density,external_activity,cluster,reliability_score,correction_factor,correction_type
경영지원센터,-,준법경영팀,16,94.74940334128878,11.6875,18.33125,10.808046368905558,1,0.6789976133651552,0.9257995226730311,minimal
경영지원센터,-,지속가능경영팀,18,91.16550494407521,8.944444444444445,17.136111111111113,14.832225644350785,2,0.6963286864429675,0.9292657372885935,minimal
경영지원센터,Operational Excellence담당,CSV그룹,10,95.44025157232704,12.9,15.9,9.339622641509433,2,0.6817610062893082,0.9263522012578617,minimal
경영지원센터,Operational Excellence담당,IT팀,50,94.78488792480115,5.32,22.128,14.212762111352134,1,0.8195395516992047,0.9708618655097614,very_minimal
경영지원센터,Operational Excellence담당,MES팀,91,93.68816669430167,5.989010989010989,19.88241758241758,12.029514176753441,1,0.795082337106877,0.9490164674213755,minimal
경영지원센터,Operational Excellence담당,OES혁신그룹,11,95.30154277699859,14.454545454545455,19.445454545454545,10.238429172510518,1,0.6812061711079944,0.9262412342215989,minimal
경영지원센터,Operational Excellence담당,Operational Excellence담당,1,99.75490196078431,50.0,20.4,0.49019607843137253,4,0.6990196078431372,0.9298039215686275,minimal
경영진단팀,-,경영진단팀,15,92.73396952954964,10.6,19.91,12.991796417210782,1,0.6709358781181987,0.9241871756236397,minimal
대표이사,-,대표이사,1,100.0,48.0,6.2,5.64516129032258,4,0.524,0.92,standard
바이오연구소,-,AI Lab,9,93.15240083507307,15.777777777777779,13.305555555555554,10.020876826722338,2,0.6387207144514033,0.92,standard
바이오연구소,-,Bio R&D지원그룹,6,71.46349982535801,27.5,23.858333333333334,10.129235068110374,1,0.585853999301432,0.92,standard
바이오연구소,-,GT기술Lab,11,82.81671159029649,12.636363636363637,20.236363636363638,6.918238993710692,1,0.6312668463611859,0.92,standard
바이오연구소,-,Open Innovation그룹,7,80.43831168831169,15.714285714285714,17.6,4.301948051948052,1,0.6217532467532467,0.92,standard
바이오연구소,-,바이오연구소,1,100.0,12.0,1.85,32.432432432432435,0,0.437,0.9074,extended
바이오연구소,-,선행공정개발Lab,27,73.95890734472171,8.962962962962964,23.524074074074072,10.973785719908683,1,0.626946740489998,0.92,standard
바이오연구소,-,펩타이드 T/F,3,71.15384615384616,21.666666666666668,16.466666666666665,19.230769230769234,2,0.5846153846153846,0.92,standard
바이오연구소,-,항체기술Lab,49,79.48590956366698,5.040816326530612,20.603061224489796,7.359714724382151,1,0.7667191484587496,0.9433438296917499,minimal
상생협력센터,-,구매팀,240,87.94993501723457,2.995833333333333,22.12125,10.74758433632819,1,0.8619247400689384,0.9835774220206815,very_minimal
상생협력센터,-,대외협력팀,4,97.3753280839895,29.0,19.05,11.089238845144358,1,0.689501312335958,0.9279002624671916,minimal
상생협력센터,-,상생협력센터,1,96.5,52.0,10.0,2.0,4,0.586,0.92,standard
상생협력센터,-,커뮤니케이션팀,12,92.69919269919271,12.666666666666666,11.870833333333334,18.708318708318707,2,0.6082134374634376,0.92,standard
영업센터,-,영업센터,2,92.13333333333334,35.5,18.75,11.866666666666667,4,0.6685333333333334,0.9237066666666667,minimal
영업센터,NJ Sales Office,CDO Sales팀,1,27.692307692307693,20.0,3.25,3.076923076923077,3,0.1757692307692308,0.88,very_extended
영업센터,NJ Sales Office,CMO Sales팀,1,0.0,3.0,3.9,0.0,3,0.288,0.88,very_extended
영업센터,NJ Sales Office,SBA Support그룹,1,0.0,4.0,5.5,0.0,3,0.29,0.88,very_extended
영업센터,Sales&Operation담당,CDO SE팀,11,93.66474689299787,15.090909090909092,14.995454545454546,14.216429220976053,2,0.6745680784810824,0.9249136156962166,minimal
영업센터,Sales&Operation담당,CMO SE팀,16,90.22082018927445,10.4375,15.85,15.161671924290221,2,0.6608832807570979,0.9221766561514196,minimal
