center,bu,team,employee_count,p1_ratio,p2_ratio,p3_ratio,p4_ratio,p5_ratio,location_fixity,office_ratio,cafeteria_ratio,movement_complexity,data_density,external_activity,primary_plant,cluster,reliability_score,correction_factor,correction_type
영업센터,Sales&Operation담당,CMO SE팀,16,8.221608832807572,76.36041009463722,11.25788643533123,8.103312302839116,0.11829652996845426,90.22082018927445,29.041798107255524,0.0,10.4375,15.85,15.161671924290221,P2,2,0.6608832807570979,0.9221766561514196,minimal
영업센터,Sales&Operation담당,Market Intelligence팀,10,10.367892976588628,73.63433667781494,13.517279821627648,7.94314381270903,0.0,89.40914158305463,28.400222965440356,0.0,12.5,17.94,17.112597547380158,P2,2,0.6576365663322186,0.9215273132664438,minimal
영업센터,Sales&Operation담당,Sales&Operation담당,1,6.451612903225806,86.02150537634408,0.0,8.60215053763441,0.0,86.02150537634408,40.86021505376344,0.0,29.0,4.65,0.0,P2,3,0.43708602150537634,0.9074172043010753,extended
영업센터,Sales&Operation담당,Sales&Operation팀,18,10.785798418307252,78.73128049806495,9.254585226316674,10.768971899713948,0.0,92.8655561164395,31.583375399629816,0.0,8.944444444444445,16.508333333333333,12.939592798250041,P2,2,0.7031288911324246,0.930625778226485,minimal
영업센터,영업지원담당,Global PA팀,3,6.155778894472362,71.98492462311557,11.809045226130653,9.547738693467336,0.0,93.46733668341709,27.889447236180903,0.0,27.0,13.266666666666666,19.22110552763819,P2,2,0.6392026800670016,0.92,standard
영업센터,영업지원담당,PM팀,68,9.867391104153237,75.22792153973661,10.189704392669675,11.032323418362648,0.11971636430610554,91.77180219173037,29.54231513030666,0.0,3.6176470588235294,15.969117647058823,13.988396721613409,P2,2,0.8585577970022156,0.9825673391006647,very_minimal
영업센터,영업지원담당,마케팅팀,24,14.823401063684713,77.32169644074732,12.16418928133097,7.186690304104731,0.0,92.24055638892676,30.587753988817674,0.0,7.125,15.277083333333334,13.636983499249967,P2,2,0.755212225555707,0.9410424451111414,minimal
영업센터,영업지원담당,영업지원담당,1,0.7042253521126761,92.95774647887323,0.0,7.746478873239436,0.0,100.0,44.36619718309859,0.0,19.0,7.1,5.633802816901409,P2,3,0.542,0.92,standard
오퍼레이션센터,-,Validation팀,45,3.2775232980571793,21.015637340072658,7.850260622334544,56.44447954509556,29.110725003948822,95.1982309271837,20.83399147054178,0.0,6.266666666666667,14.068888888888889,15.179276575580477,P4,6,0.7741707014865126,0.9448341402973025,minimal
오퍼레이션센터,-,오퍼레이션센터,4,11.003627569528417,40.145102781136636,16.68681983071342,63.96614268440145,0.0,96.2515114873035,9.189842805320435,0.0,30.0,10.3375,23.09552599758162,P4,5,0.591756045949214,0.92,standard
